"Country","Undernourished1990_1992","Undernourished1994_1996","Undernourished1999_2001","Undernourished2004_2006","Undernourished2011_2013","PercentUnderweightChildrenLT5_1998_1992","PercentUnderweightChildrenLT5_1993_1997","PercentUnderweightChildrenLT5_1998_2002","PercentUnderweightChildrenLT5_2003_2007","PercentUnderweightChildrenLT5_2009_2013","MortalityUnder5_1990","MortalityUnder5_1995","MortalityUnder5_2000","MortalityUnder5_2005","MortalityUnder5_2012","GHI_1988_1992","GHI_1993_1997","GHI_1998_2002","GHI_2003_2007","GHI_2009_2013"
"Afghanistan",NA,NA,NA,NA,NA,NA,44.9,36.5,32.8,25,17.6,14.8,13.4,11.8,9.9,"","","","",""
"Albania",9,2.4,3.8,9.7,7.8,14.1,12.8,17,6.6,6.3,4.3,3.6,2.9,2.2,1.7,"9.1","6.3","7.9","6.2","5.3"
"Algeria",5.5,6.3,6.3,5,2.4,9.2,11.3,5.4,3.7,3.6,5,4.4,3.5,2.6,2,"6.6","7.3","5.1","<5","<5"
"Angola",63.2,58.6,49,37.9,24.4,37.8,37,27.5,15.1,11.3,21.3,21,20.3,19.4,16.4,"40.8","38.9","32.3","24.1","17.4"
"Argentina",2.1,1.2,1,1.9,3.4,3.4,3.2,2.4,2.3,2.3,2.8,2.3,2,1.7,1.4,"<5","<5","<5","<5","<5"
"Armenia",NA,22.6,21.5,6.9,2.6,NA,5.1,2.6,4.2,5.3,NA,3.9,3,2.3,1.6,"","10.5","9","<5","<5"
"Azerbaijan",NA,26.6,14.9,2.2,1.1,NA,8.8,14,8.4,4.1,NA,9,7.2,5.1,3.5,"","14.8","12","5.2","<5"
"Bahrain",NA,NA,NA,NA,NA,6.3,7.6,NA,NA,NA,2.3,1.8,1.3,1.1,1,"","","","",""
"Bangladesh",33.9,36.7,18,15.3,16.3,61.5,55.2,45.3,37.3,36.8,14.4,11.4,8.8,6.8,4.1,"36.6","34.4","24","19.8","19.1"
"Belarus",NA,1.1,2.3,2.8,0.4,NA,2.4,1.1,1.3,0.8,NA,1.8,1.4,0.9,0.5,"","<5","<5","<5","<5"
"Benin",22.4,19.6,17.8,13.8,6.1,27,26.2,21.5,20.2,18.4,18.1,15.8,14.7,12,9,"22.5","20.5","18","15.3","11.2"
"Bhutan",NA,NA,NA,NA,NA,34,24.5,14.1,14.3,12.8,13.1,10.4,8,6.1,4.5,"","","","",""
"Bolivia",33.9,31,29.9,29.9,21.3,9.7,9.2,5.9,5.9,4.4,12.3,10.1,7.8,5.8,4.1,"18.6","16.8","14.5","13.9","9.9"
"Bosnia & Herzegovina",NA,6.4,6.3,2.1,2.2,NA,3.5,4.2,1.6,1.5,NA,1.4,1,0.9,0.7,"","<5","<5","<5","<5"
"Botswana",25.1,28.2,35,32.6,25.7,17,15.1,10.7,11.2,9.2,4.8,6.3,8.5,6.7,5.3,"15.6","16.5","18.1","16.8","13.4"
"Brazil",15,13.9,12.9,8.9,6.9,5.3,4.5,3.2,3,2.1,6.2,4.7,3.3,2.3,1.4,"8.8","7.7","6.5","<5","<5"
"Bulgaria",3.5,7.8,7,7.9,7.2,4,3.1,2.6,2.2,1.8,2.2,2.3,2.1,1.6,1.2,"<5","<5","<5","<5","<5"
"Burkina Faso",22.9,18.3,26.5,25.8,25,37.8,29.6,33.7,37.6,24.4,20.2,19.9,18.6,16,10.2,"27","22.6","26.3","26.5","19.9"
"Burundi",44.4,57.9,62.1,68.5,67.3,35.1,37.1,38.9,35.2,29.1,16.4,15.7,15,13.4,10.4,"32","36.9","38.7","39","35.6"
"Cambodia",39.4,37.6,33.6,27.7,15.4,47.6,42.6,39.5,28.4,29,11.6,12.1,11.1,6.3,4,"32.9","30.8","28.1","20.8","16.1"
"Cameroon",38.3,39.4,31.7,21.4,13.3,18,19.3,17.3,15.9,15.1,13.5,15.1,15,12.4,9.5,"23.3","24.6","21.3","16.6","12.6"
"Central African Republic",48.5,51.8,46,43.1,28.2,25.4,22.2,21.8,28,23.5,17.1,16.8,16.4,15.7,12.9,"30.3","30.3","28.1","28.9","21.5"
"Chad",60.1,51.8,41.7,38,29.4,38.2,34.3,29.4,33.9,30.3,20.9,20,18.9,17.6,15,"39.7","35.4","30","29.8","24.9"
"Chile",9,5.8,4.5,3.1,3,0.9,0.8,0.7,0.6,0.5,1.9,1.3,1.1,0.9,0.9,"<5","<5","<5","<5","<5"
"China",22.9,16.6,14.4,13.4,11.4,12.6,10.7,7.4,4.5,3.4,5.4,4.7,3.7,2.4,1.4,"13.6","10.7","8.5","6.8","5.4"
"Colombia",20.3,15.2,13.1,13.8,10.6,8.8,6.3,4.9,5.1,3.4,3.5,3,2.5,2.2,1.8,"10.9","8.2","6.8","7","5.3"
"Comoros",41.4,48.2,67.1,58.6,65.3,15.2,21.1,25,22.1,15.3,12.4,10.7,9.9,9.4,7.8,"23","26.7","34","30","29.5"
"Congo, Dem. Rep.",NA,NA,NA,NA,NA,21.5,30.7,33.6,28.2,24.2,17.1,17.1,17.1,17.1,14.6,"","","","",""
"Congo, Rep.",42.4,45.4,32.6,31.9,33,15.3,11.7,10.4,11.8,11.6,10,11,11.8,11.3,9.6,"22.6","22.7","18.3","18.3","18.1"
"Costa Rica",4,5,4.3,5,8.2,2.5,2.9,1.9,1.5,1.1,1.7,1.5,1.3,1,1,"<5","<5","<5","<5","<5"
"Croatia",NA,14.6,11.6,2.1,1.4,NA,0.5,0.5,0.4,0.3,NA,1,0.8,0.7,0.5,"","5.4","<5","<5","<5"
"Cuba",7.8,20,2.9,1.1,0.6,4.4,4.2,3.4,3.5,2.1,1.3,1.1,0.8,0.7,0.6,"<5","8.4","<5","<5","<5"
"Côte d'Ivoire",13.3,14.2,20,19.6,20.5,20.6,20.3,18.2,16.7,15.7,15.2,15.2,14.5,13.1,10.8,"16.4","16.6","17.6","16.5","15.7"
"Djibouti",70.2,60.8,49.4,37.2,20.5,20.2,16,25.4,29.6,29.8,11.9,11.3,10.8,9.9,8.1,"34.1","29.4","28.5","25.6","19.5"
"Dominican Republic",32.5,24.9,22.3,20.9,15.6,8.4,4.7,3.5,4.6,2.8,6,4.9,4,3.4,2.7,"15.6","11.5","9.9","9.6","7"
"Ecuador",26.4,19.4,20,21.8,16.3,12.6,12,12.5,6.2,5,5.6,4.3,3.4,2.9,2.3,"14.9","11.9","12","10.3","7.9"
"Egypt, Arab Rep.",2,1.6,1.5,2.2,1.3,10.5,10.8,9.8,5.4,4.5,8.6,6.4,4.5,3.1,2.1,"7","6.3","5.3","<5","<5"
"El Salvador",15.3,14.8,10.9,10.7,11.9,11.1,7.2,9.6,6.1,5.1,5.9,4.4,3.2,2.3,1.6,"10.8","8.8","7.9","6.4","6.2"
"Eritrea",NA,72.4,76.5,75.6,61.3,NA,39.6,34.5,33.9,34.8,NA,11.7,8.9,7,5.2,"","41.2","40","38.8","33.8"
"Estonia",NA,6.4,4.3,4.3,3.3,NA,1.7,0.9,0.8,0.7,NA,1.6,1.1,0.7,0.4,"","<5","<5","<5","<5"
"Ethiopia",NA,67.5,55.7,46.8,37.1,41.9,42.7,42,34.6,29.2,20.4,17.5,14.6,11,6.8,"","42.6","37.4","30.8","24.4"
"Fiji",6.6,6.4,4.8,2.9,2.7,9,6.9,6.2,5.3,6.3,3.1,2.7,2.4,2.2,2.2,"6.2","5.3","<5","<5","<5"
"Gabon",9.5,8.6,5.9,6.1,5.6,11.4,8.4,8.8,8.2,6.5,9.2,8.9,8.6,7.9,6.2,"10","8.6","7.8","7.4","6.1"
"Gambia, The",18.2,23.8,19.4,20.1,16,20.8,23.2,15.4,15.8,17.4,17,14.1,11.6,9.5,7.3,"18.7","20.4","15.5","15.1","13.6"
"Georgia",NA,NA,NA,NA,NA,NA,3.6,2.7,2.3,1.1,NA,4.5,3.4,2.6,2,"","","","",""
"Ghana",44.4,23.5,17.8,11.2,2.9,24.4,25.8,20.3,13.9,13.4,12.8,11.3,10.3,8.8,7.2,"27.2","20.2","16.1","11.3","7.8"
"Guatemala",16.9,19.9,27.2,29.8,30.5,22,21.7,19.6,17,13,8,6.3,5.1,4.1,3.2,"15.6","16","17.3","17","15.6"
"Guinea",18.2,20.7,21.1,17.9,15.2,23.6,21.2,29.1,22.5,17.5,24.1,20.9,17.1,13.5,10.1,"22","20.9","22.4","18","14.3"
