"Country","variable","value"
"Afghanistan","Undernourished1990_1992",NA
"Albania","Undernourished1990_1992","9"
"Algeria","Undernourished1990_1992","5.5"
"Angola","Undernourished1990_1992","63.2"
"Argentina","Undernourished1990_1992","2.1"
"Armenia","Undernourished1990_1992",NA
"Azerbaijan","Undernourished1990_1992",NA
"Bahrain","Undernourished1990_1992",NA
"Bangladesh","Undernourished1990_1992","33.9"
"Belarus","Undernourished1990_1992",NA
"Benin","Undernourished1990_1992","22.4"
"Bhutan","Undernourished1990_1992",NA
"Bolivia","Undernourished1990_1992","33.9"
"Bosnia & Herzegovina","Undernourished1990_1992",NA
"Botswana","Undernourished1990_1992","25.1"
"Brazil","Undernourished1990_1992","15"
"Bulgaria","Undernourished1990_1992","3.5"
"Burkina Faso","Undernourished1990_1992","22.9"
"Burundi","Undernourished1990_1992","44.4"
"Cambodia","Undernourished1990_1992","39.4"
"Cameroon","Undernourished1990_1992","38.3"
"Central African Republic","Undernourished1990_1992","48.5"
"Chad","Undernourished1990_1992","60.1"
"Chile","Undernourished1990_1992","9"
"China","Undernourished1990_1992","22.9"
"Colombia","Undernourished1990_1992","20.3"
"Comoros","Undernourished1990_1992","41.4"
"Congo, Dem. Rep.","Undernourished1990_1992",NA
"Congo, Rep.","Undernourished1990_1992","42.4"
"Costa Rica","Undernourished1990_1992","4"
"Croatia","Undernourished1990_1992",NA
"Cuba","Undernourished1990_1992","7.8"
"Côte d'Ivoire","Undernourished1990_1992","13.3"
"Djibouti","Undernourished1990_1992","70.2"
"Dominican Republic","Undernourished1990_1992","32.5"
"Ecuador","Undernourished1990_1992","26.4"
"Egypt, Arab Rep.","Undernourished1990_1992","2"
"El Salvador","Undernourished1990_1992","15.3"
"Eritrea","Undernourished1990_1992",NA
"Estonia","Undernourished1990_1992",NA
"Ethiopia","Undernourished1990_1992",NA
"Fiji","Undernourished1990_1992","6.6"
"Gabon","Undernourished1990_1992","9.5"
"Gambia, The","Undernourished1990_1992","18.2"
"Georgia","Undernourished1990_1992",NA
"Ghana","Undernourished1990_1992","44.4"
"Guatemala","Undernourished1990_1992","16.9"
"Guinea","Undernourished1990_1992","18.2"
"Guinea-Bissau","Undernourished1990_1992","21.8"
"Guyana","Undernourished1990_1992","22"
"Haiti","Undernourished1990_1992","62.7"
